target	cmpd	pPfam
P31749	CQU	0.963455149502
P53582	HM4	0.928571428571
P08373	973	0.875
Q6B856	VLB	0.632352941176
A9JQL9	830	1.0
P33247	R23	0.44764957265
P23467	2UN	1.0
P56389	CTN	0.897435897436
P08473	RDF	0.909090909091
O00141	GMG	1.0
P42684	STI	0.983379501385
P18031	418	0.95926412615
Q96KQ7	DXQ	0.794871794872
P08185	HCY	0.777777777778
P15559	CC2	0.869209809264
Q05397	7PY	1.0
P23919	FDM	1.0
Q05823	25A	0.789473684211
P00766	PBA	1.0
P13444	ATP	1.0
O00206	E55	0.764705882353
P00760	MID	0.997658079625
P05177	BHF	1.0
P51955	WGZ	1.0
Q00535	ALH	1.0
Q00534	LQQ	1.0
Q9Y3R4	BCZ	0.848739495798
Q9BYF1	XX5	1.0
P02829	ADP	1.0
Q9Y5Y6	730	0.52380952381
P54616	TCL	1.0
P30291	396	1.0
P65728	AXX	0.888888888889
P02545	GOL	1.0
P13051	3FI	1.0
P17752	LX0	1.0
P0AB71	PGH	1.0
P02768	NPS	0.860262008734
Q15759	B45	1.0
P10826	TTB	0.84
P35968	AAZ	1.0
P02767	T44	0.738095238095
P02766	DZ2	0.755037115589
P10275	R18	0.913162705667
P10276	EQN	0.845744680851
P15121	I84	0.646725949879
P56658	EH9	1.0
Q07912	T74	1.0
O00764	PXL	1.0
Q96CA5	516	1.0
P22734	DNC	0.714285714286
O00763	RCP	1.0
O00408	IBM	1.0
Q9UM73	VGH	1.0
Q13370	IBM	0.859649122807
P03962	BMP	1.0
P39898	006	0.444444444444
P0A5Y6	4PI	0.989795918367
P08254	N25	0.905353728489
P61823	T3S	0.811989100817
Q9PPP5	THM	1.0
P96275	NVC	0.923076923077
P07327	CCB	0.862068965517
P27986	KWT	0.0
P17931	LAT	1.0
P68106	RAP	1.0
P06280	NOJ	0.413793103448
Q00959	GLU	0.944444444444
P11142	ATP	1.0
P12268	MYD	1.0
P50053	TR3	1.0
O43570	AZM	1.0
P04035	5HI	1.0
P38489	CB1	0.913043478261
P06401	MOF	0.983796296296
P00720	3CH	0.917670682731
O60760	ZZA	0.928746928747
P41743	BI1	0.888888888889
P00338	OXM	1.0
