7tm_3	Q80T35	all	'see additional file 7'
Lig_chan	Q91755	'see additional file 7'
GAF	Q864F1	all	'see additional file 7'
SH3_1	A1Z199	all	'see additional file 7'
Tubulin_C	O46399	all	'see additional file 7' 
