target	nDomains	pPfam	source
O43451	4	0.570813139472	0
O60706	4	0.524209167205	0
O76074	3	0.622857142857	0
O95180	4	0.382065448364	0
O96760	2	0.915294117647	0
P00374	1	0.967914438503	0
P0ABQ4	1	0.993670886076	0
P00519	4	0.485840707965	0
P00533	4	0.535537190083	0
P0A8V2	7	1.11260253542	0
P00734	5	0.79421221865	0
P00747	7	0.846913580247	0
Q6SJ61	1	0.736842105263	0
P00813	1	0.931129476584	0
P00918	1	0.976923076923	0
P01008	1	0.810344827586	0
P63316	3	0.981366459627	0
P02918	2	0.497055359246	0
P03372	4	0.788235294118	0
P03468	1	0.991169977925	0
P63231	1	1.0	0
P03952	5	0.884012539185	0
P04035	2	0.597972972973	0
P04150	3	0.841902313625	0
P0AD68	2	0.768313458262	0
P04293	3	0.786061588331	0
P04818	1	0.904153354633	0
P05023	4	0.847507331378	0
P05091	1	0.895551257253	0
P05106	3	0.701776649746	0
P05108	1	0.880998080614	0
P68371	2	0.770786516854	0
P05556	4	0.745614035088	0
P06213	5	0.532561505065	0
P06401	3	0.903536977492	0
P0AES6	4	0.610211706102	0
P07099	2	0.725274725275	0
P07101	4	0.751893939394	0
P07202	2	0.64308681672	0
P07327	2	0.688	0
P07477	1	0.87044534413	0
P07550	1	0.668280871671	0
P07805	2	0.855450236967	0
P07862	3	0.96393442623	0
P0AD65	2	0.814873417722	0
P08172	1	0.858369098712	0
P08235	2	0.285569105691	0
P08514	3	0.477382098171	0
P08588	1	0.633123689727	0
P08908	1	0.822274881517	0
P08913	1	0.808602150538	0
P0AES4	7	0.866132723112	0
P09884	4	0.725718194254	0
P09917	2	0.927299703264	0
P10275	4	0.782608695652	0
P10276	2	0.580086580087	0
P10613	1	0.893738140417	0
P10827	2	0.514285714286	0
P10912	3	0.772727272727	0
P11229	1	0.817391304348	0
P11387	3	0.682352941176	0
P11388	5	0.636185499673	0
P11473	2	0.674473067916	0
P11511	1	0.878727634195	0
P0C002	1	0.751798561151	0
P12235	3	0.959731543624	0
P12268	3	1.14785992218	0
P12821	2	0.9134762634	0
P13922	2	0.693574958814	0
P14324	1	0.649164677804	0
P14416	1	0.846501128668	0
P14679	1	0.4404536862	0
P14867	3	0.881578947368	0
P69996	2	0.757042253521	0
P15538	1	0.906560636183	0
P16233	2	0.94623655914	0
P16473	2	1.22134387352	0
P18405	1	0.57528957529	0
P62942	1	0.851851851852	0
P20138	2	0.486263736264	0
P20648	5	0.878260869565	0
P20711	1	0.789583333333	0
P20839	3	1.00169779287	0
P21148	2	0.774774774775	0
P21397	1	0.829222011385	0
P21554	1	0.559322033898	0
P21728	1	0.652466367713	0
P21817	15	0.438070662961	0
P21917	1	0.947494033413	0
P21964	1	0.746606334842	0
P22303	2	0.946515397083	0
P22680	1	0.922619047619	0
P22888	3	0.682403433476	0
P23219	1	0.739565943239	0
P23284	1	0.726851851852	0
P23921	3	0.863636363636	0
P23945	5	0.65035971223	0
P23975	1	0.849270664506	0
P24228	1	0.945378151261	0
P25021	1	0.637279596977	0
P25100	1	0.505244755245	0
P27338	1	0.840384615385	0
P28221	1	0.798408488064	0
P28222	1	0.776923076923	0
P28223	1	0.613588110403	0
P28335	1	0.650655021834	0
P0A749	1	0.956937799043	0
P0AEK4	1	0.915708812261	0
P29218	1	0.791666666667	0
P30518	1	0.730458221024	0
P30531	1	0.859766277129	0
P30542	1	0.803680981595	0
P30556	1	0.715877437326	0
P30559	1	0.701799485861	0
P30874	1	0.682926829268	0
P30968	1	0.795731707317	0
P30988	2	0.585714285714	0
P31213	1	0.588932806324	0
P31645	2	0.83630952381	0
P32476	1	0.549494949495	0
P32754	2	0.702290076336	0
P34998	2	0.63963963964	0
P35348	1	0.607296137339	0
P35354	1	0.733443708609	0
P35367	1	0.870636550308	0
P35368	1	0.55	0
P35372	1	0.509127789047	0
P35462	1	0.8425	0
P35498	6	0.671976107516	0
P37088	1	1.0	0
P37231	3	0.677227722772	0
P37288	2	0.77990430622	0
P38631	2	0.499733333333	0
P41143	1	0.677419354839	0
P41145	1	0.668421052632	0
P41146	1	0.678378378378	0
P41972	3	0.862445414847	0
P43088	1	0.727019498607	0
P43098	4	0.373142250531	0
