target	pPfam
P31749	1.0
P30613	1.0
P31210	1.0
P13697	0.666666666667
P33527	0.5
O15075	1.0
P0A5R0	1.0
Q9WUD9	1.0
P00520	1.0
Q00535	1.0
Q00534	1.0
Q00537	1.0
Q00536	1.0
Q00532	1.0
P21673	0.5
P30291	1.0
P65728	1.0
P17050	0.0
P0AB71	1.0
Q60751	1.0
P02768	1.0
P02767	1.0
P02766	1.0
P10275	1.0
Q9Y2U5	1.0
P52270	1.0
Q8NWQ9	1.0
O00408	1.0
Q8TDX7	1.0
P03962	1.0
Q8VD48	1.0
Q61391	1.0
P00546	1.0
P00540	1.0
Q9Y6E0	1.0
Q08291	1.0
Q99640	1.0
P22199	1.0
O75385	1.0
P27595	1.0
Q92630	1.0
Q9BXA7	1.0
Q01579	1.0
P00722	1.0
O60760	1.0
Q9P1W9	1.0
O08911	1.0
O08914	1.0
P17597	1.0
Q05586	1.0
O02662	1.0
Q09013	1.0
Q63009	0.6
Q13126	1.0
P32738	1.0
Q96RG2	1.0
P53634	1.0
P15428	1.0
P0AEE8	1.0
P27448	1.0
P67475	1.0
P16152	1.0
Q9HCR9	1.0
O75164	0.333333333333
P04626	1.0
Q16854	0.714285714286
P54762	1.0
P54763	1.0
P54760	1.0
P04629	1.0
Q9Z1N1	1.0
P54764	1.0
O75365	1.0
P26640	1.0
Q13232	1.0
Q13233	1.0
Q13231	1.0
Q13237	1.0
Q8TCT1	1.0
Q8K4Z4	1.0
Q9HA47	1.0
P41148	1.0
P22612	1.0
P04825	1.0
P16083	1.0
Q99519	0.666666666667
P09810	1.0
P09811	0.0
Q9FV53	1.0
P11511	1.0
Q9Y2H1	1.0
P11730	1.0
Q9Y2H9	1.0
Q9BYP7	1.0
P19858	1.0
Q02127	1.0
O94760	1.0
Q920D2	1.0
O35491	1.0
P80457	1.0
O35493	1.0
P10481	0.0
P24062	1.0
P39962	1.0
P40231	1.0
P10644	1.0
Q9C098	1.0
P60891	0.0
O95747	1.0
O95749	1.0
Q03059	1.0
P37231	0.75
Q9Y6R4	1.0
P0ABQ4	1.0
Q9H6Z9	1.0
Q8WWR8	0.0
